iteration,target_tool,question,ok,status,latency_ms,intent,error
39,get_monthly_summary,"Cho tôi báo cáo tổng quan thu chi tháng này.",true,200,17303,personal_finance,
40,get_monthly_summary,"Tóm tắt tài chính tháng 6 của tôi.",true,200,18615,personal_finance,
41,compare_spending_between_two_months,"So sánh chi tiêu tháng này với tháng trước giúp tôi.",true,200,4264,personal_finance,
42,compare_spending_between_two_months,"Tháng 4 và tháng 5 tôi chi tiêu khác nhau thế nào?",true,200,16200,personal_finance,
43,compare_spending_between_two_months,"Chi tiêu của tôi tháng này tăng hay giảm so với tháng trước?",true,200,1924,personal_finance,
44,compare_spending_between_two_months,"So sánh thu nhập 2 tháng gần nhất của tôi.",true,200,4119,personal_finance,
45,get_spending_trend,"Xu hướng chi tiêu lọ thiết yếu trong 6 tháng qua của tôi thế nào?",true,200,3399,personal_finance,
46,get_spending_trend,"Chi tiêu lọ giải trí có xu hướng tăng hay giảm gần đây?",true,200,38040,hybrid,
47,get_spending_trend,"Cho tôi xem biến động chi tiêu lọ giáo dục vài tháng qua.",true,200,40068,personal_finance,
48,get_spending_trend,"Xu hướng thu chi lọ dự phòng gần đây ra sao?",true,200,3980,personal_finance,
49,get_auto_transfers,"Tôi có đang cài lịch tự động chia tiền không?",true,200,3580,personal_finance,
50,get_auto_transfers,"Danh sách các lịch chuyển tiền tự động đang hoạt động của tôi.",true,200,3796,personal_finance,
51,get_auto_transfers,"Tôi đã thiết lập tự động phân bổ thu nhập chưa?",true,200,2619,personal_finance,
52,get_auto_transfers,"Cho tôi xem các lịch tự động đang bật.",true,200,2570,personal_finance,
53,can_afford_this,"Tôi có nên mua bàn phím cơ giá 3 triệu không?",true,200,4851,hybrid,
54,can_afford_this,"Tôi có đủ khả năng mua một chiếc laptop 15 triệu không?",true,200,17666,hybrid,
55,can_afford_this,"Với tình hình tài chính hiện tại, tôi có nên mua tai nghe 2 triệu không?",true,200,16485,hybrid,
56,can_afford_this,"Tôi có nên chi 5 triệu để đi du lịch cuối năm không?",true,200,26626,hybrid,
57,compare_jar_allocation,"Phân bổ lọ của tôi có hợp lý theo phương pháp 6 lọ chuẩn không?",false,,90347,,timeout of 90000ms exceeded
