iteration,target_tool,question,ok,status,latency_ms,intent,error
1,get_jar_balance,"Lọ chi tiêu thiết yếu của tôi còn bao nhiêu tiền?",true,200,3391,personal_finance,
2,get_jar_balance,"Số dư hiện tại của lọ giáo dục là bao nhiêu?",true,200,24232,personal_finance,
3,get_jar_balance,"Lọ hưởng thụ còn lại bao nhiêu tiền để tôi chi tiêu?",true,200,3133,personal_finance,
4,get_jar_balance,"Cho tôi biết số dư lọ dự phòng ngay bây giờ.",true,200,3441,personal_finance,
5,get_jar_allocations,"Cho tôi xem tổng quan 6 lọ tài chính của tôi.",true,200,38046,personal_finance,
6,get_jar_allocations,"Hiện tại tôi đang phân bổ bao nhiêu % vào mỗi lọ?",true,200,3317,personal_finance,
7,get_jar_allocations,"Danh sách 6 lọ kèm số dư từng lọ hiện tại là gì?",true,200,3560,personal_finance,
8,get_jar_allocations,"Tóm tắt tình hình tất cả các lọ tài chính giúp tôi.",true,200,3576,personal_finance,
9,get_jar_statistics,"Từ trước đến giờ lọ giáo dục tôi đã thu chi tổng cộng bao nhiêu?",true,200,38007,personal_finance,
10,get_jar_statistics,"Thống kê toàn bộ dòng tiền của lọ thiết yếu từ lúc tạo tới giờ.",true,200,3378,personal_finance,
11,get_jar_statistics,"Lọ đầu tư của tôi có tổng thu chi lũy kế như thế nào?",true,200,10636,personal_finance,
12,get_jar_statistics,"Cho tôi số liệu tổng quan lịch sử của lọ hưởng thụ.",true,200,16407,personal_finance,
13,get_recent_transactions,"Cho tôi xem 10 giao dịch gần đây nhất của tôi.",true,200,36523,personal_finance,
14,get_recent_transactions,"Gần đây tôi đã chi tiêu những khoản nào?",true,200,3304,personal_finance,
15,get_recent_transactions,"Liệt kê các giao dịch mới nhất trên tất cả các lọ.",true,200,3893,personal_finance,
16,get_recent_transactions,"Tôi vừa mới tiêu tiền vào những việc gì gần đây?",true,200,3789,hybrid,
17,get_top_expenses,"Tháng này tôi tiêu nhiều nhất vào việc gì?",true,200,25628,personal_finance,
18,get_top_expenses,"10 khoản chi lớn nhất trong 30 ngày qua của tôi là gì?",true,200,4513,personal_finance,
19,get_top_expenses,"Khoản chi tiêu lớn nhất gần đây của tôi là khoản nào?",true,200,3402,personal_finance,
