iteration,target_tool,question,ok,status,latency_ms,intent,error
58,compare_jar_allocation,"So sánh cách tôi đang chia tiền với tỷ lệ 6 lọ khuyến nghị.",true,200,3743,hybrid,
59,compare_jar_allocation,"Tỷ lệ phân bổ hiện tại của tôi lệch bao nhiêu so với chuẩn?",true,200,5322,hybrid,
60,compare_jar_allocation,"Đánh giá xem cách chia lọ của tôi có đúng nguyên tắc 6 lọ không.",true,200,1370,hybrid,
61,suggest_jar_rebalancing,"Giúp tôi tái cân bằng lại tỷ lệ các lọ tài chính.",true,200,3963,knowledge_6jars,
62,suggest_jar_rebalancing,"Đề xuất cách phân bổ lại 6 lọ cho hợp lý hơn.",true,200,2213,hybrid,
63,suggest_jar_rebalancing,"Tôi nên điều chỉnh % các lọ như thế nào cho tốt hơn?",true,200,12572,hybrid,
64,suggest_jar_rebalancing,"Gợi ý tỷ lệ phân bổ mới dựa trên chi tiêu thực tế của tôi.",true,200,39939,hybrid,
65,get_financial_guidelines,"Làm sao để quản lý nợ hiệu quả khi là sinh viên?",true,200,8090,knowledge_6jars,
66,get_financial_guidelines,"Thu nhập không đều thì nên chia lọ như thế nào?",true,200,3400,knowledge_6jars,
67,get_financial_guidelines,"Có lời khuyên nào về việc đặt mục tiêu tiết kiệm không?",true,200,37906,knowledge_6jars,
68,get_financial_guidelines,"Cho tôi vài mẹo quản lý tài chính dành cho sinh viên.",true,200,3579,knowledge_6jars,
69,find_scholarship_id_by_name,"Học bổng có tên gần giống 'Vươn Cao' thì ID là gì?",true,200,2749,scholarships,
70,find_scholarship_id_by_name,"Tìm giúp tôi ID của học bổng tên có chữ 'Khuyến khích'.",true,200,2965,scholarships,
71,find_scholarship_id_by_name,"Học bổng nào tên gần giống 'Tài năng' vậy, cho tôi ID.",true,200,2568,scholarships,
72,find_scholarship_id_by_name,"Tìm ID học bổng có tên chứa từ 'Sinh viên'.",true,200,37264,scholarships,
73,get_scholarship_details,"Học bổng đầu tiên trong danh sách đang mở yêu cầu GPA bao nhiêu?",true,200,2217,scholarships,
74,get_scholarship_details,"Chi tiết điều kiện và giấy tờ cần nộp cho học bổng đang phổ biến nhất là gì?",true,200,2079,scholarships,
75,get_scholarship_details,"Học bổng có hạn nộp sớm nhất yêu cầu những gì?",true,200,2024,scholarships,
76,get_scholarship_details,"Cho tôi biết chi tiết đầy đủ của một học bổng bất kỳ đang mở.",true,200,4369,scholarships,
