iteration,target_tool,question,ok,status,latency_ms,intent,error
20,get_top_expenses,"Cho tôi biết những chi tiêu đáng kể nhất tuần vừa rồi.",true,200,5645,personal_finance,
21,search_transactions,"Tìm giúp tôi giao dịch nào có chữ 'Grab' trong mô tả.",true,200,3884,personal_finance,
22,search_transactions,"Tôi có giao dịch nào liên quan đến 'cà phê' không?",true,200,3764,personal_finance,
23,search_transactions,"Tìm kiếm các giao dịch có từ 'học phí'.",true,200,15885,personal_finance,
24,search_transactions,"Có giao dịch nào chứa từ 'sách' trong mô tả không?",true,200,16086,personal_finance,
25,get_jar_tags,"Lọ hưởng thụ tôi đang gắn những tag nào?",true,200,3182,personal_finance,
26,get_jar_tags,"Danh sách tag đang hoạt động của lọ thiết yếu là gì?",true,200,2258,knowledge_6jars,
27,get_jar_tags,"Tôi đã tạo những tag nào cho lọ giải trí?",true,200,36986,knowledge_6jars,
28,get_jar_tags,"Cho tôi xem các tag của lọ dự phòng.",true,200,13831,personal_finance,
29,get_budget_status,"Ngân sách lọ thiết yếu tháng này còn lại bao nhiêu?",true,200,53479,personal_finance,
30,get_budget_status,"Tình trạng ngân sách của lọ giải trí hiện tại ra sao?",true,200,3380,personal_finance,
31,get_budget_status,"Tôi đã dùng hết bao nhiêu % ngân sách lọ ăn uống?",false,,90298,,timeout of 90000ms exceeded
32,get_budget_status,"Ngân sách còn lại của lọ hưởng thụ tháng này là bao nhiêu?",true,200,25581,personal_finance,
33,get_tag_spending_summary,"Tháng 5 tôi chi bao nhiêu cho từng tag trong lọ thiết yếu?",true,200,2236,personal_finance,
34,get_tag_spending_summary,"Tổng hợp chi tiêu theo tag của tháng trước giúp tôi.",true,200,3895,personal_finance,
35,get_tag_spending_summary,"Tag nào tôi chi nhiều tiền nhất trong tháng này?",true,200,3653,personal_finance,
36,get_tag_spending_summary,"Phân tích chi tiêu theo từng tag của tháng hiện tại.",true,200,3534,personal_finance,
37,get_monthly_summary,"Tổng kết thu chi tháng 3 của tôi như thế nào?",true,200,2997,personal_finance,
38,get_monthly_summary,"Tháng trước tôi thu và chi tổng cộng bao nhiêu?",true,200,2192,personal_finance,
