iteration,target_tool,question,ok,status,latency_ms,intent,error
161,get_scholarship_recommendations_for_described_profile,"Một bạn sinh viên ngành Sư phạm, hoàn cảnh khó khăn, GPA 3.4 thì nên apply học bổng nào?",true,200,13311,scholarships,
162,get_scholarship_recommendations_for_described_profile,"Bạn cùng phòng tôi học Khoa học máy tính, GPA 3.7, thích nghiên cứu AI — gợi ý học bổng giúp bạn ấy.",true,200,1222,scholarships,
163,get_scholarship_recommendations_for_described_profile,"Người quen tôi học ngành Y đa khoa, GPA 3.6, năm 4 — học bổng nào phù hợp?",true,200,1070,scholarships,
164,get_scholarship_recommendations_for_described_profile,"Bạn tôi học Tài chính - Ngân hàng, GPA 3.2, thích đầu tư chứng khoán — gợi ý học bổng giúp bạn ấy.",true,200,948,scholarships,
165,get_latest_scholarship_recommendations_for_chat,"Học bổng nào mới được cập nhật gần đây nhất?",true,200,7435,scholarships,
166,get_latest_scholarship_recommendations_for_chat,"Gần đây có học bổng mới nào không?",true,200,17378,scholarships,
167,get_latest_scholarship_recommendations_for_chat,"Cho tôi xem các học bổng vừa được thêm vào hệ thống.",true,200,65861,hybrid,
168,get_latest_scholarship_recommendations_for_chat,"Học bổng mới nhất hiện tại là gì?",true,200,12793,scholarships,
169,get_latest_scholarship_recommendations_for_chat,"Tuần này có học bổng nào mới xuất hiện không?",true,200,9648,scholarships,
170,get_latest_scholarship_recommendations_for_chat,"Danh sách học bổng mới cập nhật trong tháng này.",true,200,7572,scholarships,
171,match_scholarships_for_profile,"Xếp hạng học bổng phù hợp cho hồ sơ: ngành Khoa học máy tính, trường Đại học Khoa học Tự nhiên, kỹ năng Python và Machine Learning, sở thích nghiên cứu AI.",true,200,1013,scholarships,
172,match_scholarships_for_profile,"Với profile: major=Công nghệ thông tin, university=Bách Khoa, skills=[Java, SQL], hãy xếp hạng học bổng phù hợp.",true,200,1076,scholarships,
173,match_scholarships_for_profile,"Xếp hạng độ phù hợp học bổng cho hồ sơ: ngành Kinh tế, GPA 3.6, kỹ năng phân tích dữ liệu, sở thích tài chính.",true,200,1016,scholarships,
174,match_scholarships_for_profile,"Dựa trên hồ sơ JSON sau, xếp hạng học bổng: {\"major\": \"Sinh học\", \"university\": \"KHTN\", \"interests\": [\"nghiên cứu\", \"công nghệ sinh học\"]}.",true,200,11440,scholarships,
175,match_scholarships_for_profile,"Xếp hạng học bổng cho hồ sơ: ngành Kế toán, trường Đại học Kinh tế Quốc dân, GPA 3.3, kỹ năng kiểm toán.",true,200,9686,scholarships,
176,match_scholarships_for_profile,"Với hồ sơ: major=Kỹ thuật điện, university=Đại học Bách Khoa Hà Nội, skills=[PLC, autocad], xếp hạng học bổng phù hợp nhất.",true,200,999,scholarships,
177,(tổng quát),"Tổng hợp giúp tôi tình hình tài chính và cơ hội học bổng hiện tại của tôi.",true,200,21703,scholarships,
178,(tổng quát),"Tôi nên làm gì để vừa quản lý tiền tốt hơn vừa tăng cơ hội nhận học bổng?",true,200,21277,scholarships,
179,(tổng quát),"Tình hình của tôi dạo này thế nào?",true,200,20177,hybrid,
180,(tổng quát),"Tôi nên ưu tiên việc gì trước: tiết kiệm tiền hay nộp hồ sơ học bổng?",true,200,8336,scholarships,
