iteration,target_tool,question,ok,status,latency_ms,intent,error
141,get_scholarship_application_detail,"Hồ sơ apply học bổng gần nhất của tôi còn thiếu giấy tờ gì không?",true,200,24394,scholarships,
142,get_scholarship_application_detail,"Tôi có khả năng đậu học bổng mà tôi vừa apply không?",true,200,12501,scholarships,
143,get_scholarship_application_detail,"Trạng thái xét duyệt hồ sơ học bổng của tôi hiện ra sao?",true,200,10494,scholarships,
144,get_scholarship_application_detail,"Xem chi tiết lịch sử xét duyệt hồ sơ học bổng gần nhất của tôi.",true,200,1364,scholarships,
145,get_scholarship_application_detail,"Hồ sơ học bổng tôi nộp tuần trước hiện đang ở bước nào?",true,200,19419,scholarships,
146,get_scholarship_application_detail,"Cho tôi xem chi tiết đầy đủ 1 hồ sơ học bổng tôi đã nộp.",true,200,19355,hybrid,
147,get_scholarship_recommendations_for_chat,"Gợi ý học bổng phù hợp với hồ sơ của tôi.",true,200,1235,scholarships,
148,get_scholarship_recommendations_for_chat,"Học bổng nào tôi nên apply dựa trên thông tin hiện tại?",true,200,13209,scholarships,
149,get_scholarship_recommendations_for_chat,"Đề xuất giúp tôi vài học bổng phù hợp nhất.",true,200,1499,scholarships,
150,get_scholarship_recommendations_for_chat,"Với hồ sơ của tôi thì học bổng nào khả thi nhất?",true,200,11983,scholarships,
151,get_scholarship_recommendations_for_chat,"Dựa trên ngành học của tôi, học bổng nào đáng cân nhắc?",true,200,12514,scholarships,
152,get_scholarship_recommendations_for_chat,"Gợi ý 3 học bổng tôi có cơ hội đậu cao nhất.",true,200,1124,scholarships,
153,search_scholarship_recommendations_by_criteria,"Học bổng nào yêu cầu GPA từ 3.2 trở lên và hạn nộp trong tháng tới?",true,200,38040,scholarships,
154,search_scholarship_recommendations_by_criteria,"Tìm học bổng của trường Đại học Bách Khoa cho tôi.",true,200,13861,scholarships,
155,search_scholarship_recommendations_by_criteria,"Có học bổng nào dành riêng cho ngành Công nghệ thông tin không?",true,200,22275,scholarships,
156,search_scholarship_recommendations_by_criteria,"Tìm học bổng có giá trị từ 5 triệu trở lên.",true,200,13059,scholarships,
157,search_scholarship_recommendations_by_criteria,"Học bổng nào yêu cầu GPA dưới 3.0, phù hợp cho hoàn cảnh khó khăn?",true,200,982,scholarships,
158,search_scholarship_recommendations_by_criteria,"Tìm học bổng do doanh nghiệp tài trợ, không yêu cầu GPA cao.",true,200,15989,scholarships,
159,get_scholarship_recommendations_for_described_profile,"Bạn tôi GPA 3.5, ngành Công nghệ thông tin, năm 3 — gợi ý học bổng phù hợp cho bạn ấy.",true,200,1017,scholarships,
160,get_scholarship_recommendations_for_described_profile,"Em họ tôi học ngành Kinh tế, GPA 3.0, năm 2 — có học bổng nào phù hợp không?",true,200,1215,scholarships,
