iteration,target_tool,question,ok,status,latency_ms,intent,error
1,get_jar_balance,"Lọ chi tiêu thiết yếu của tôi còn bao nhiêu tiền?",true,200,8481,personal_finance,
2,get_jar_balance,"Số dư hiện tại của lọ giáo dục là bao nhiêu?",true,200,53933,personal_finance,
3,get_jar_balance,"Lọ hưởng thụ còn lại bao nhiêu tiền để tôi chi tiêu?",true,200,16646,personal_finance,
4,get_jar_balance,"Cho tôi biết số dư lọ dự phòng ngay bây giờ.",true,200,9353,personal_finance,
5,get_jar_balance,"Lọ đầu tư của tôi hiện có bao nhiêu tiền?",true,200,14705,personal_finance,
6,get_jar_balance,"Kiểm tra giúp tôi số dư lọ chia sẻ hiện tại.",true,200,14094,personal_finance,
7,get_jar_allocations,"Cho tôi xem tổng quan 6 lọ tài chính của tôi.",true,200,8751,personal_finance,
8,get_jar_allocations,"Hiện tại tôi đang phân bổ bao nhiêu % vào mỗi lọ?",true,200,12938,personal_finance,
9,get_jar_allocations,"Danh sách 6 lọ kèm số dư từng lọ hiện tại là gì?",true,200,14537,personal_finance,
10,get_jar_allocations,"Tóm tắt tình hình tất cả các lọ tài chính giúp tôi.",true,200,23678,personal_finance,
11,get_jar_allocations,"Tỷ lệ chia tiền hiện tại của tôi cho từng lọ là bao nhiêu phần trăm?",true,200,15827,personal_finance,
12,get_jar_allocations,"Cho tôi xem toàn bộ cấu trúc 6 lọ đang thiết lập.",true,200,7397,personal_finance,
13,get_jar_statistics,"Từ trước đến giờ lọ giáo dục tôi đã thu chi tổng cộng bao nhiêu?",true,200,14358,personal_finance,
14,get_jar_statistics,"Thống kê toàn bộ dòng tiền của lọ thiết yếu từ lúc tạo tới giờ.",true,200,11834,personal_finance,
15,get_jar_statistics,"Lọ đầu tư của tôi có tổng thu chi lũy kế như thế nào?",true,200,18739,personal_finance,
16,get_jar_statistics,"Cho tôi số liệu tổng quan lịch sử của lọ hưởng thụ.",true,200,11630,personal_finance,
17,get_jar_statistics,"Tính đến bây giờ lọ chia sẻ đã có tổng cộng bao nhiêu giao dịch?",true,200,20914,personal_finance,
18,get_jar_statistics,"Lọ dự phòng của tôi từ khi tạo đến nay biến động thế nào?",true,200,23450,personal_finance,
19,get_recent_transactions,"Cho tôi xem 10 giao dịch gần đây nhất của tôi.",true,200,12065,personal_finance,
20,get_recent_transactions,"Gần đây tôi đã chi tiêu những khoản nào?",true,200,10172,personal_finance,
