iteration,target_tool,question,ok,status,latency_ms,intent,error
101,get_financial_guidelines,"Làm sao để quản lý nợ hiệu quả khi là sinh viên?",true,200,31529,knowledge_6jars,
102,get_financial_guidelines,"Thu nhập không đều thì nên chia lọ như thế nào?",true,200,19940,knowledge_6jars,
103,get_financial_guidelines,"Có lời khuyên nào về việc đặt mục tiêu tiết kiệm không?",true,200,8651,knowledge_6jars,
104,get_financial_guidelines,"Cho tôi vài mẹo quản lý tài chính dành cho sinh viên.",true,200,13333,knowledge_6jars,
105,get_financial_guidelines,"Phương pháp 6 lọ hoạt động theo nguyên tắc nào?",true,200,11067,knowledge_6jars,
106,get_financial_guidelines,"Sinh viên mới đi làm thêm nên bắt đầu quản lý tiền từ đâu?",true,200,28719,knowledge_6jars,
107,find_scholarship_id_by_name,"Học bổng có tên gần giống 'Vươn Cao' thì ID là gì?",true,200,8720,scholarships,
108,find_scholarship_id_by_name,"Tìm giúp tôi ID của học bổng tên có chữ 'Khuyến khích'.",true,200,13271,scholarships,
109,find_scholarship_id_by_name,"Học bổng nào tên gần giống 'Tài năng' vậy, cho tôi ID.",true,200,11459,scholarships,
110,find_scholarship_id_by_name,"Tìm ID học bổng có tên chứa từ 'Sinh viên'.",true,200,7987,scholarships,
111,find_scholarship_id_by_name,"ID của học bổng có tên gần giống 'Xuất Sắc' là gì?",true,200,12513,scholarships,
112,find_scholarship_id_by_name,"Tìm giúp tôi mã học bổng có tên chứa từ 'Nghị Lực'.",true,200,10159,scholarships,
113,get_scholarship_details,"Học bổng đầu tiên trong danh sách đang mở yêu cầu GPA bao nhiêu?",true,200,13376,scholarships,
114,get_scholarship_details,"Chi tiết điều kiện và giấy tờ cần nộp cho học bổng đang phổ biến nhất là gì?",true,200,10279,scholarships,
115,get_scholarship_details,"Học bổng có hạn nộp sớm nhất yêu cầu những gì?",true,200,9889,scholarships,
116,get_scholarship_details,"Cho tôi biết chi tiết đầy đủ của một học bổng bất kỳ đang mở.",true,200,18956,scholarships,
117,get_scholarship_details,"Giá trị và quyền lợi của học bổng đang mở gần bạn nhất là gì?",true,200,18938,scholarships,
118,get_scholarship_details,"Học bổng đang mở có giá trị cao nhất yêu cầu hồ sơ gì?",true,200,13959,scholarships,
119,get_all_scholarships,"Liệt kê tất cả học bổng đang mở hiện tại.",true,200,18628,scholarships,
120,get_all_scholarships,"Hiện có bao nhiêu học bổng đang nhận hồ sơ?",true,200,10469,scholarships,
