iteration,description,amount,ok,status,latency_ms,suggested_jar_code,confidence,error
26,"Thuê phòng trọ tháng này",2500000,true,200,2098,essentials,0.98,
27,"Mua đồ dùng học tập, bút vở",60000,true,200,1126,education,0.98,
28,"In tài liệu ở tiệm photo",25000,true,200,858,education,0.9,
29,"Mua đồ ăn vặt siêu thị",75000,true,200,897,enjoyment,0.8,
30,"Đi xem concert với bạn bè",450000,true,200,789,enjoyment,0.9,
31,"Mua vé máy bay về quê",1200000,true,200,787,enjoyment,0.9,
32,"Sửa laptop bị hỏng",400000,true,200,805,essentials,0.7,
33,"Mua chuột và bàn phím máy tính",320000,true,200,831,education,0.8,
34,"Ăn buffet cuối tuần với gia đình",350000,true,200,855,enjoyment,0.9,
35,"Mua đồ tập gym",150000,true,200,874,enjoyment,0.8,
36,"Đóng phí hội sinh viên",30000,true,200,881,education,0.9,
37,"Cắt tóc ở tiệm",60000,true,200,805,enjoyment,0.8,
38,"Mua kem chống nắng, mỹ phẩm",220000,true,200,919,enjoyment,0.9,
39,"Đổ mực máy in",40000,true,200,986,education,0.8,
40,"Sửa xe máy định kỳ",180000,true,200,878,essentials,0.8,
41,"Mua bảo hiểm y tế sinh viên",680000,true,200,941,reserve,0.9,
42,"Ăn sáng bánh mì trước khi đi học",20000,true,200,1094,essentials,0.9,
43,"Uống trà đá vỉa hè với bạn",10000,true,200,437,essentials,0,
44,"Mua vé số ủng hộ",10000,true,200,428,essentials,0,
45,"Đăng ký gói học tiếng Anh online",890000,true,200,435,essentials,0,
46,"Mua ba lô đi học mới",380000,true,200,433,essentials,0,
47,"Chi phí đi dã ngoại cùng lớp",150000,true,200,436,essentials,0,
48,"Mua vé vào công viên giải trí",220000,true,200,439,essentials,0,
49,"Chuyển khoản góp tiền sinh nhật lớp",50000,true,200,440,essentials,0,
50,"Mua ổ cứng di động để lưu đồ án",750000,true,200,418,essentials,0,
51,"Ăn trưa với bạn ở quán cơm",45000,true,200,794,enjoyment,0.9,
52,"Cà phê sáng ở highlands",55000,true,200,426,essentials,0,
53,"Trà sữa buổi chiều",39000,true,200,430,essentials,0,
54,"Ăn tối gọi Grabfood",85000,true,200,464,essentials,0,
55,"Đi Grab đến trường",32000,true,200,968,essentials,0.9,
56,"Đổ xăng xe máy",70000,true,200,749,essentials,0.9,
57,"Vé xe buýt tháng",200000,true,200,808,essentials,0.9,
58,"Mua vé xem phim CGV",90000,true,200,1090,enjoyment,0.9,
59,"Chơi game nạp thẻ",100000,true,200,756,enjoyment,0.9,
60,"Mua sách giáo trình lập trình",250000,true,200,892,education,0.98,
61,"Đóng học phí kỳ này",5000000,true,200,786,education,1,
62,"Mua khóa học online trên Udemy",350000,false,,30046,,,timeout of 30000ms exceeded
63,"Mua áo thun mới",180000,true,200,2101,enjoyment,0.9,
64,"Mua giày thể thao",650000,true,200,877,enjoyment,0.9,
65,"Khám bệnh ở phòng khám",300000,true,200,1058,,0,
66,"Mua thuốc cảm ở nhà thuốc",45000,true,200,849,essentials,0.9,
67,"Đóng tiền điện tháng này",220000,true,200,987,essentials,0.98,
68,"Đóng tiền nước",80000,true,200,839,essentials,0.98,
69,"Đóng tiền internet wifi",165000,true,200,867,essentials,0.9,
70,"Nạp tiền điện thoại",50000,true,200,1003,essentials,0.7,
71,"Mua quà sinh nhật cho bạn",200000,true,200,828,sharing,0.9,
72,"Ủng hộ quỹ từ thiện của trường",100000,true,200,1002,sharing,0.98,
73,"Góp tiền mua quà tặng thầy cô 20/11",50000,true,200,756,sharing,0.9,
74,"Chuyển tiền tiết kiệm vào sổ",1000000,true,200,815,investment,0.9,
75,"Mua vàng tích lũy đầu tháng",500000,true,200,858,investment,0.98,
76,"Thuê phòng trọ tháng này",2500000,true,200,815,essentials,0.98,
77,"Mua đồ dùng học tập, bút vở",60000,true,200,799,education,0.98,
78,"In tài liệu ở tiệm photo",25000,true,200,808,education,0.9,
79,"Mua đồ ăn vặt siêu thị",75000,true,200,1215,enjoyment,0.8,
80,"Đi xem concert với bạn bè",450000,true,200,861,enjoyment,0.9,
81,"Mua vé máy bay về quê",1200000,true,200,908,enjoyment,0.9,
82,"Sửa laptop bị hỏng",400000,true,200,726,essentials,0.7,
83,"Mua chuột và bàn phím máy tính",320000,true,200,810,education,0.8,
84,"Ăn buffet cuối tuần với gia đình",350000,true,200,712,enjoyment,0.9,
85,"Mua đồ tập gym",150000,true,200,436,essentials,0,
86,"Đóng phí hội sinh viên",30000,true,200,442,essentials,0,
87,"Cắt tóc ở tiệm",60000,true,200,1477,essentials,0,
88,"Mua kem chống nắng, mỹ phẩm",220000,true,200,401,essentials,0,
89,"Đổ mực máy in",40000,true,200,459,essentials,0,
90,"Sửa xe máy định kỳ",180000,true,200,453,essentials,0,
91,"Mua bảo hiểm y tế sinh viên",680000,true,200,740,reserve,0.9,
92,"Ăn sáng bánh mì trước khi đi học",20000,true,200,770,essentials,0.9,
93,"Uống trà đá vỉa hè với bạn",10000,true,200,433,essentials,0,
94,"Mua vé số ủng hộ",10000,true,200,21450,sharing,0.9,
95,"Đăng ký gói học tiếng Anh online",890000,true,200,831,education,0.9,
96,"Mua ba lô đi học mới",380000,true,200,418,essentials,0,
97,"Chi phí đi dã ngoại cùng lớp",150000,true,200,431,essentials,0,
98,"Mua vé vào công viên giải trí",220000,true,200,451,essentials,0,
99,"Chuyển khoản góp tiền sinh nhật lớp",50000,true,200,950,sharing,0.9,
100,"Mua ổ cứng di động để lưu đồ án",750000,true,200,415,essentials,0,
